MyRacket.x,MyRacket.y,MyRacket.z,OpponentRacket.x,OpponentRacket.y,OpponentRacket.z,Ball.x,Ball.y,Ball.z,Step0,Step1,Step2,Reward
-4.485481,1.79644,14.57813,-7.513029,1.504686,-10.39717,-8.633791,3.688302,-6.793448,6.595713,-0.4931035,-1.784215,0.007467567
-6.812955,1.79644,14.57813,-5.16628,1.668103,-11.91573,-6.812955,4.874477,-0.6282703,7.009698,-0.6454663,-2.260068,0.007428796
-4.940095,1.79644,14.57813,-2.75248,1.83619,-13.47768,-4.940095,1.079673,5.713055,7.06594,-0.6727567,-2.565685,0.007018762
-4.193144,1.755321,9.187778,-1.746731,1.906226,-14.12849,-3.988359,2.041914,8.935539,,,,0.006287631
-4.193144,1.755321,9.187778,-1.746731,1.906226,-14.12849,-3.988359,2.041914,8.935539,,,,0.1106156
-3.239904,1.798995,10.22522,-0.4068935,1.906226,-14.12849,-0.4068935,2.381355,3.207,6.2385,-0.4694091,-2.546512,0.004348261
-1.55588,1.897263,12.55947,6.715766,1.487929,-12.59845,7.651405,0.6896588,-9.682216,-7.283909,1.178875,0.7605144,0.007240946
4.35537,1.916371,13.01336,5.710766,1.387472,-12.42257,4.35537,4.595326,-5.417523,-7.09666,1.120247,0.5554028,0.007153353
-0.4968018,1.916371,13.01336,3.133614,1.684712,-13.6733,-0.4968018,4.012836,1.173731,-0.1592316,0.3373328,-1.505199,0.0002527935
-4.520415,1.393957,9.517181,1.845038,1.833332,-14.29866,-5.340852,1.481611,7.753953,6.822471,-0.6454294,-2.604196,0.0009569155
-5.175139,1.558624,8.552538,1.845038,1.833332,-14.29866,-5.743045,1.819735,8.300298,,,,0.0009569155
-5.175139,1.558624,8.552538,1.845038,1.833332,-14.29866,-5.743045,1.819735,8.300298,,,,0.1062705
-3.974965,1.695099,10.54613,2.007812,1.833332,-14.29866,2.007812,1.938856,-1.966995,-1.10732,0.5127333,-0.9201351,0.001315705
1.025239,1.848633,12.78892,7.4603,1.226475,-11.47207,7.800594,2.50505,-9.597711,-7.3576,1.174872,0.8135895,0.006890492
3.489648,1.997902,14.96941,4.967536,1.499583,-12.71766,3.489648,5.516016,-3.699945,-6.700063,1.073771,0.3096359,0.006846015
